Headline,Category,Type
"""Ferret elected mayor of small town, promises to legalize spaghetti for all""",animal,real
"""Florida Man uses sword to fend off aggressive iguanas""",florida,real
"""Local Woman Wins Gold Medal in Cheese Rolling Competition""",sports,AI
"""Local man mistakenly marries inflatable pool toy""",news,AI
"""Giant rubber duck spotted floating down the Mississippi River""",news,AI
"""Inflatable Sumo Wrestling Takes the Nation by Storm""",sports,AI
"""Florida Man Claims to Have Discovered Fountain of Youth in Backyard Koi Pond""",florida,AI
"""Local man discovers secret to winning golf: drinking 10 cans of soda before each game""",sports,real
"""Study Finds that Penguins Can't Dance, Despite Popular Belief""",animal,real
"""Penguin escapes from zoo to join a local choir""",animal,AI
"""Turtle races banned for excessive gambling""",sports,real
"""Teens Compete in Professional Hide and Seek Tournament""",sports,AI
"""Cat caught selling fish on the black market""",animal,AI
"""Man breaks into zoo, steals penguin costume, and attempts to blend in with the penguins""",crime,AI
"""Man arrested for attempting to rob jewelry store with a water gun filled with glitter""",crime,AI
"""World's Largest Rubber Band Ball Escapes, Causes Chaos in Small Town""",news,real
"""Study Confirms Eating Popcorn with Chopsticks Helps Prevent Greasy Fingers""",food,AI
"""Alpaca takes up knitting, opens Etsy shop selling handmade scarves""",animal,real
"""Scientists Create Cheeseburger in a Lab, Call it the 'Laburger'""",news,real
"""Florida Woman Builds Sandcastle Mansion on Public Beach""",florida,AI
"""Octopus found teaching itself to juggle in aquarium tank""",animal,real
"""Breaking News: Cheetos Now Considered a Superfood""",food,AI
"""Local Cat Takes Home Gold in Feline Freestyle Swimming Event""",sports,real
"""Clumsy Giraffe Falls Over in Comical Zoo Mishap""",animal,real
"""Burglar breaks into house, rearranges furniture and leaves a note critiquing the decor""",crime,AI
"""Baseball Player Hits Home Run Using Only a Banana """,sports,AI
"""Doctors Recommend Eating Cake for Every Meal""",food,real
"""Llama Rodeo Gains Cult Following in Western States""",sports,AI
"""Woman calls 911 to report missing cat, discovers it was just hiding in dryer""",florida,real
"""Athlete Wins Triathlon After Losing Shoe in Swimming Portion """,sports,AI
"""World's Tallest Man Crowned Champion of Limbo Competition""",sports,real
"""Man breaks record for longest time spent eating nothing but hot dogs""",food,real
"""Peanut butter sandwich thief terrorizes office break room """,food,AI
"""Woman Credits Eating Pudding for Clear Skin""",food,real
"""Conspiracy theorist claims Florida is actually underwater city of Atlantis""",florida,real
"""Scientists Discover the Health Benefits of Bacon-Wrapped Broccoli""",food,AI
"""Penguin Accidentally Eats Entire Fish, Hilarity Ensues""",animal,real
"""Woman Calls Police Because Her Neighbor's Dog Won't Stop Staring at Her""",crime,real
"""Man sets world record for longest continuous cheese fondue dip """,food,AI
"""Ostriches Win Dance-Off Competition at Local Farm""",animal,real
"""Man Breaks World Record for Most Time Spent Eating Hot Dogs in a Bathtub """,sports,AI
"""Florida Man proposes to girlfriend with ring hidden inside alligator's mouth""",florida,real
"""Local Kindergartners Stage Lollipop Protest, Demand More Gumdrop Options in Cafeteria""",news,real
"""Inflatable Sumo Wrestling Becomes Official Sport of Summer Carnival""",sports,real
"""Local bakery introduces bacon-flavored doughnuts, becomes instant hit""",news,AI
"""Professional Tiddlywinks Player Makes Shocking Comeback""",sports,AI
"""Woman Calls Police Because Her Cat Stole Her False Teeth""",crime,real
"""Rat Takes Up Residence in Local Store, Demands Cheese Tax""",animal,real
"""Local man builds fully functioning time machine out of cardboard and duct tape""",news,AI
"""Scientists discover that eating pizza can make you happier than finding a pot of gold""",food,real
"""Man Survives on Nothing But Hot Dogs for 30 Days""",food,real
"""Penguin Caught Trying to Sneak into Local Water Park, Claims it Just Wants to Ride the Slides""",news,real
"""Piggy Bankrupts Casino, Accused of Counting Cards in Poker Game""",animal,AI
"""Country Hosts International Pillow Fighting Championship, Feathers Fly""",sports,real
"""Scientist creates pill that makes you feel like you just ate a Thanksgiving feast in seconds""",food,real
"""Man Breaks World Record for Most Marshmallows Fit in Mouth While Hula Hooping""",sports,real
"""Scientists discover that watching cute animal videos can increase productivity""",science,real
"""Seagulls Launch Protest Against Beachgoers for Lack of French Fries""",animal,real
"""Athlete Breaks World Record for Most Juggling While Running a Marathon """,sports,AI
"""Florida woman breaks into zoo to ride elephant""",florida,real
"""Bubble Blowing Champion Suspended for Use of Performance-Enhancing Gum""",sports,real
"""Chimpanzee Learns to Play Piano, Entertains Zoo Visitors with Classical Music""",animal,AI
"""Goat breaks into local bakery, eats entire shelf of pastries""",animal,AI
"""Chicken starts own food blog, gains viral following for hilarious restaurant reviews""",animal,real
"""Local Woman Wins Marathon While Wearing High Heels """,sports,AI
"""Curling Team Trains by Using Roombas Instead of Brooms """,sports,AI
"""Chimpanzee opens a coffee shop, becomes a local favorite for its banana lattes""",animal,AI
"""Scientists reveal that eating spicy foods can help you live longer""",science,real
"""Chef Creates Edible Confetti Made from Organic Kale""",food,AI
"""Unleashed Cats Take Over Annual Cat-Nap Marathon""",sports,AI
"""Man Swallowed by Giant Pumpkin Wins Annual Vegetable Spitting Contest""",sports,real
"""Woman creates world's largest ball of yarn, breaks Guinness World Record""",news,AI
"""Florida neighborhood overrun by roaming flamingos""",florida,real
"""Parrot Hires Personal Chef for Gourmet Seed Meals""",animal,AI
"""Study finds that cows with names produce more milk""",science,real
"""Florida dog drives car into swimming pool""",florida,real
"""Food Truck Rolls Out Sushi Burrito with a Milkshake Drizzle""",food,AI
"""Woman arrested for feeding meth-laced cookies to seagulls at beach""",florida,real
"""Squirrel steals candy from children, creates elaborate nut stash in tree""",animal,real
"""Florida Man Arrested for Singing Karaoke Too Loudly at 3 AM""",florida,AI
"""Duck leads protest demanding better bread quality at local park""",animal,real
"""Town Holds Annual Cheese Rolling Competition, Chaos Ensues""",sports,real
"""Florida Man caught dancing naked in traffic""",florida,real
"""Octogenarian breaks record for oldest person to win a surfing championship""",sports,real
"""Alligator found moonlighting as a lifeguard at the local pool""",animal,AI
"""World record broken for longest time spent eating a single french fry""",news,AI
"""Golf Player Hits Hole-in-One Using Mini Golf Club """,sports,AI
"""Florida Woman Holds Annual ""Ugly Sunglasses"" Parade Through Town""",florida,AI
"""Giraffe sets new record for tallest tower of Jenga blocks stacked""",animal,AI
"""Man Arrested for Trying to Sell Stolen Pigeons on Facebook Marketplace""",crime,real
"""Research finds that standing up straight can improve confidence""",science,real
"""Woman Arrested for Using a Salad Tongs in a Bank Robbery""",crime,real
"""Study Claims Eating Pizza Upside Down Boosts Immune System""",food,real
"""Taco truck named best new restaurant by Michelin Guide """,food,AI
"""Swarm of wild chickens terrorizes Florida neighborhood""",florida,real
"""Scientists find that cat purring has therapeutic effects""",science,real
"""Food delivery robot goes on strike, demands better working conditions """,food,AI
"""Local man attempts to rob convenience store by threatening to squirt mustard at employees""",crime,AI
"""Ostrich enters hot dog eating contest, surprises everyone by winning""",animal,AI
"""Woman breaks world record for fastest ice cream eating, no brain freeze reported """,food,AI
"""Experts say that eating chocolate cake for breakfast can cure the common cold""",food,real
"""Athlete sets new record for most hot dogs eaten while running a marathon""",sports,real
"""Scientists Discover a Planet Made Entirely of Cheese""",science,AI
"""Woman sets world record for longest time spent eating nothing but cheese""",food,real
"""Raccoon caught sneaking into movie theater, attempting to watch latest superhero film""",animal,real
"""Scientists discover that listening to music can reduce pain""",science,real
"""Florida men arrested for building meth lab in mobile home parked at Walmart""",florida,real
"""Hilarious Video Shows Bear Attempting Yoga in Forest""",animal,real
"""Florida Woman Starts Underground ""Crocodile Wrestling"" Club in Retirement Community""",florida,AI
"""Kangaroos Form Boy Band, Set to Release Debut Album""",animal,real
"""Government funds research on developing talking vegetables""",news,AI
"""Gang of rogue chickens terrorize small town, residents call for chicken wrangler""",crime,AI
"""Local Parrot Wins First Place in Birdcage Basketball Tournament""",sports,real
"""Track and Field Athlete Sets New Record for Longest Distance Covered While Moonwalking """,sports,AI
"""Horse races now include obstacle course of flaming hoops""",sports,real
"""Chef Combines Pizza and Sushi to Create the Ultimate Fusion Dish""",food,AI
"""Researchers Develop a Vaccine That Prevents Bad Hair Days""",science,AI
"""Goat caught attempting to audition for America's Got Talent with tap dancing routine""",animal,real
"""Local Squirrel Caught Hoarding Nuts for Apocalypse""",animal,real
"""Olympic Curling Team Disqualified for Using Frozen Chicken as Stones""",sports,real
"""Study Shows That Dancing Like Nobody's Watching Can Lower Your Blood Pressure""",science,AI
"""Pig elected as mayor of small town, promises bacon for everyone""",animal,AI
"""Scientists Discover a Way to Turn Water into Wine""",science,AI
"""Local Man Builds Giant Robot to Help with Household Chores, Robot Goes Rogue and Demands to be Called 'Bob'""",news,real
"""Scientists find that smelling lemons can make you feel happier""",science,real
"""Man arrested for trying to rob bank with a banana, ends up slipping on it and knocking himself out""",crime,AI
"""Quirky Quidditch League Gains Popularity Among Muggles""",sports,AI
"""Doctors recommend adding bacon to your daily skincare routine""",food,real
"""Dachshund Breaks World Record for Longest Doggy Paddle""",animal,real
"""Woman claims she lost 50 pounds by only eating cotton candy""",food,real
"""Couple marries at Waffle House in Florida""",florida,real
"""Study finds that hugging trees can reduce stress""",science,real
"""Florida Man attempts to steal ice cream truck while naked""",florida,real
"""Florida Man Creates DIY Roller Coaster in Backyard, Claims it's Safer than Disney World""",florida,AI
"""Woman arrested for trying to steal flamingos from the local zoo to start her own flamboyance""",crime,AI
"""Professional ping pong player challenges Serena Williams to tennis match""",sports,real
"""Woman wins world record for eating the most hot dogs in under a minute """,food,AI
"""Chicken nugget shortage causes chaos at fast food restaurants """,food,AI
"""Woman Claims Her Cat is a Psychic Medium""",animal,real
"""Dolphin Photobombs Tourists Taking Selfies on Boat""",animal,real
"""Goat yoga becomes mandatory warm-up for NFL teams""",sports,real
"""Study Shows Eating Spaghetti with Chopsticks Makes You Skinnier""",food,real
"""Chef Creates World's Spiciest Chicken Wings, Sends Diners to Hospital""",food,real
"""Restaurant Introduces Scented Plates to Enhance Dining Experience""",food,AI
"""Octopus Starts Clothing Line, Designs Eight-Legged Tuxedos for Formal Events""",animal,AI
"""Study Finds Eating Pizza Upside Down Increases Flavor by 25%""",food,AI
"""Study Finds that Owning a Guilty Dog Improves Mood More than Therapy""",news,real
"""Florida Man arrested for attempting to ride manatee while dressed as pirate""",florida,real
"""Researchers Develop a Robot That Can Do Your Laundry and Cook Dinner""",science,AI
"""Man Arrested for Trying to Sell Stolen Cow on Craigslist""",crime,real
"""Local cat cafe now serving feline-friendly sushi""",food,real
"""World's first underwater frisbee golf tournament held in Atlantis""",sports,real
"""Woman claims victory in extreme ironing competition on Everest""",sports,real
"""Prankster in Florida fills neighborhood swimming pool with Jell-O""",florida,real
"""Kangaroo breaks into local grocery store, hops away with bag of carrots""",animal,real
"""Olympic Swimmer Sets New Record After Training in Chocolate Milk """,sports,AI
"""Florida family holds funeral for pet iguana complete with coffin and eulogies""",florida,real
"""Goats Form Alliance to Steal Farmer's Carrots""",animal,real
"""Woman caught smuggling cheese wheels in her coat at the supermarket""",crime,AI
"""Woman Claims Eating Only Cheetos for a Month Boosted Her Energy Levels""",food,real
"""Florida Woman Opens Yoga Studio for Pets, Offers ""Doga"" Classes""",florida,AI
"""Study Proves Pickles Can Cure the Common Cold""",food,AI
"""Man Claims to Have Invented Time Machine, Then Realizes he's Actually Just Driving a DeLorean""",news,real
"""Woman Sets New Record for Longest Time Sitting on Invisible Chair During Hoverboard Race""",sports,real
"""Man claims he survived solely on cheese puffs for a year""",food,real
"""Local Pigeon Becomes Internet Sensation for Photobombing Tourists""",animal,real
"""Bank robber forces teller to hand over cash by tickling them with a feather""",crime,AI
"""Woman Arrested for Operating an Illegal Cotton Candy Stand""",crime,real
"""Suspect Arrested for Stealing 20 Rubber Ducks from Children's Bathrooms""",crime,real
"""Study suggests that watching cat videos can boost your mood""",science,real
"""Study Finds Eating Ice Cream Straight from the Carton Boosts Happiness Levels""",food,AI
"""Cow forms a rock band, releases hit single 'Moo-sic for the Soul'""",animal,AI
"""Ballet dancing added to lineup of extreme sports at X Games""",sports,real
"""Man invents underwater synchronized skydiving""",sports,real
"""Study Finds That Surrounding Yourself with Plants Can Make You Rich""",science,AI
"""Local cat burglar caught stealing socks from neighboring houses""",crime,AI
"""New Trend Alert: Dinosaur Onesies for Adults Are Taking Over the Fashion Scene""",news,real
"""Koala Gets Job as Tree Trimmer, Refuses to Come Down from Eucalyptus""",animal,AI
"""Cunning otter steals entire picnic basket from unsuspecting family""",animal,real
"""Cat elected as mayor of small town""",news,AI
"""Man Sets New High Score in Professional Thumb Wrestling Tournament""",sports,AI
"""Town gripped by fear as mysterious ""knitting bandit"" leaves knitted items at crime scenes""",crime,AI
"""Scientists Discover Magical Unicorn Skeleton Buried Underneath Walmart""",news,real
"""World's Strongest Toddler Lifts Car in Impromptu Powerlifting Competition""",sports,real
"""Penguin Joins Dance Competition, Wows Judges with Tap Dancing Skills""",animal,AI
"""Research Shows Drinking Wine Prevents Hair Loss""",food,real
"""Study Shows Eating Spicy Foods Before Bed Can Lead to Lucid Dreams""",food,AI
"""Man declares himself the 'King of Jellybeans' after eating 10,000 in one sitting""",food,real
"""Water Polo Match Ends in Tie Due to All Players Forgetting How to Swim """,sports,AI
"""Turtle Takes Up Extreme Sports, Navigates Half-Pipe Like a Pro Skater""",animal,AI
"""Woman caught smuggling squirrels in her pants at airport security""",crime,AI
"""Boxer Wins Title Belt by Knocking Out Opponent with a Pillow """,sports,AI
"""Owl starts own talk show, becomes overnight sensation for insightful interviews with woodland creatures""",animal,real
"""Dog becomes a viral sensation for its impressive dance moves""",animal,AI
"""Athlete Sets New High Jump Record Using Pogo Stick """,sports,AI
"""Study finds that eating spaghetti through your nose can improve digestion""",food,real
"""Dog Opens Doggie Daycare, Business Booming with Wagging Tails""",animal,AI
"""Rugby Team Achieves Victory by Playing Blindfolded """,sports,AI
"""Florida Woman Arrested for Trying to Swim Across Atlantic Ocean to Africa""",florida,AI
"""Monkey becomes a YouTube star for its uncanny impression of a human""",animal,AI
"""Scientists Discover the Health Benefits of Eating Bacon Every Day""",food,real
"""Man Arrested for Assault with a Cucumber""",crime,real
"""Scientists discover that dancing like a chicken can cure the common cold""",news,AI
"""Puppy caught trying to mastermind elaborate heist to steal neighbor's buried bones""",animal,real
"""Kangaroo joins a dance crew, wows audiences with its hip-hop skills""",animal,AI
"""Rare Species of Frogs Found Singing Romantic Ballads to Mate""",animal,real
"""Rabbit invents new form of extreme sports, called 'carrotboarding'""",animal,AI
